kind	k	cohorts	combo	score	malig_def	unit	n	rho	p	I2	stouffer_z	stouffer_p	note	loo	source	member_rhos	member_ns	n_q1	n_q4	n_compared	r_rb	p_q4q1	delta_median	thin_q4	parent_triple
triple_loo	2	GSE127465+GSE131907	GSE127465+GSE131907 (LOO drop GSE123902)	mean	tisch_malig+author_malig	mixed	28	-0.31246822244046224	0.12944099852030963	0.0	-1.5103709941232861	0.13094878564099913	leave-one-cohort-out of GSE123902+GSE127465+GSE131907; dropped GSE123902	drop_GSE123902	this_pr	GSE127465:0.107,GSE131907:-0.396	GSE127465:7,GSE131907:21	7	7	14	-0.3877551020408163	0.25932400932400934	-0.1893459069020867	False	GSE123902+GSE127465+GSE131907
triple_loo	2	GSE123902+GSE131907	GSE123902+GSE131907 (LOO drop GSE127465)	mean	marker_malig+author_malig	mixed	34	-0.4995083871760923	0.003693853589321764	0.0	-2.8738641663142164	0.004054833134963312	leave-one-cohort-out of GSE123902+GSE127465+GSE131907; dropped GSE127465	drop_GSE127465	this_pr	GSE123902:-0.654,GSE131907:-0.396	GSE123902:13,GSE131907:21	10	8	18	-0.65	0.020521961698432286	-0.2928461221714681	False	GSE123902+GSE127465+GSE131907
triple_loo	2	GSE123902+GSE127465	GSE123902+GSE127465 (LOO drop GSE131907)	mean	marker_malig+tisch_malig	mixed	20	-0.39821770994434785	0.33442273087920293	55.76829267989151	-1.9264839182801	0.054043977977888895	leave-one-cohort-out of GSE123902+GSE127465+GSE131907; dropped GSE131907	drop_GSE131907	this_pr	GSE123902:-0.654,GSE127465:0.107	GSE123902:13,GSE127465:7	5	5	10	-0.52	0.2222222222222222	-0.2823597529593412	True	GSE123902+GSE127465+GSE131907
triple_loo	2	GSE127465+GSE148071	GSE127465+GSE148071 (LOO drop GSE123902)	mean	tisch_malig+tisch_malig	mixed	29	0.08441324269976301	0.6848914853850131	0.0	0.4154552012713897	0.6778087036482534	leave-one-cohort-out of GSE123902+GSE127465+GSE148071; dropped GSE123902	drop_GSE123902	this_pr	GSE127465:0.107,GSE148071:0.080	GSE127465:7,GSE148071:22	8	7	15	-0.1428571428571429	0.6943278943278944	-0.13308873119806225	False	GSE123902+GSE127465+GSE148071
triple_loo	2	GSE123902+GSE148071	GSE123902+GSE148071 (LOO drop GSE127465)	mean	marker_malig+tisch_malig	mixed	35	-0.3127749377174049	0.45169932484018527	79.44776940264141	-1.13837531931714	0.2549637953248587	leave-one-cohort-out of GSE123902+GSE127465+GSE148071; dropped GSE127465	drop_GSE127465	this_pr	GSE123902:-0.654,GSE148071:0.080	GSE123902:13,GSE148071:22	9	9	18	-0.3580246913580247	0.21637300805763748	-0.2628466154013814	False	GSE123902+GSE127465+GSE148071
triple_loo	2	GSE123902+GSE127465	GSE123902+GSE127465 (LOO drop GSE148071)	mean	marker_malig+tisch_malig	mixed	20	-0.39821770994434785	0.33442273087920293	55.76829267989151	-1.9264839182801	0.054043977977888895	leave-one-cohort-out of GSE123902+GSE127465+GSE148071; dropped GSE148071	drop_GSE148071	this_pr	GSE123902:-0.654,GSE127465:0.107	GSE123902:13,GSE127465:7	5	5	10	-0.52	0.2222222222222222	-0.2823597529593412	True	GSE123902+GSE127465+GSE148071
triple_loo	2	GSE127465+GSE189357	GSE127465+GSE189357 (LOO drop GSE123902)	mean	tisch_malig+marker_malig	mixed	16	-0.28530464616584894	0.37974808126933945	9.71459613978771	-0.95857355952064	0.3377736178112519	leave-one-cohort-out of GSE123902+GSE127465+GSE189357; dropped GSE123902	drop_GSE123902	this_pr	GSE127465:0.107,GSE189357:-0.517	GSE127465:7,GSE189357:9	4	4	8	-0.25	0.6857142857142857	-0.09912965812238494	True	GSE123902+GSE127465+GSE189357
triple_loo	2	GSE123902+GSE189357	GSE123902+GSE189357 (LOO drop GSE127465)	mean	marker_malig+marker_malig	mixed	22	-0.6063700689014294	0.004913629528210351	0.0	-2.788516902644733	0.005294998427596125	leave-one-cohort-out of GSE123902+GSE127465+GSE189357; dropped GSE127465	drop_GSE127465	this_pr	GSE123902:-0.654,GSE189357:-0.517	GSE123902:13,GSE189357:9	7	5	12	-1.0	0.0025252525252525255	-0.3563523583449021	True	GSE123902+GSE127465+GSE189357
triple_loo	2	GSE123902+GSE127465	GSE123902+GSE127465 (LOO drop GSE189357)	mean	marker_malig+tisch_malig	mixed	20	-0.39821770994434785	0.33442273087920293	55.76829267989151	-1.9264839182801	0.054043977977888895	leave-one-cohort-out of GSE123902+GSE127465+GSE189357; dropped GSE189357	drop_GSE189357	this_pr	GSE123902:-0.654,GSE127465:0.107	GSE123902:13,GSE127465:7	5	5	10	-0.52	0.2222222222222222	-0.2823597529593412	True	GSE123902+GSE127465+GSE189357
triple_loo	2	GSE127465+GSE205335	GSE127465+GSE205335 (LOO drop GSE123902)	mean	tisch_malig+author_malig	mixed	29	-0.14806172023014313	0.47440067497398686	0.0	-0.7176088620801035	0.4729984918360387	leave-one-cohort-out of GSE123902+GSE127465+GSE205335; dropped GSE123902	drop_GSE123902	this_pr	GSE127465:0.107,GSE205335:-0.200	GSE127465:7,GSE205335:22	8	7	15	-0.3571428571428571	0.280963480963481	-0.11093938834527076	False	GSE123902+GSE127465+GSE205335
triple_loo	2	GSE123902+GSE205335	GSE123902+GSE205335 (LOO drop GSE127465)	mean	marker_malig+author_malig	mixed	35	-0.42327477052314644	0.11488496546443644	54.43719819520376	-2.1474408813877215	0.0317581989640832	leave-one-cohort-out of GSE123902+GSE127465+GSE205335; dropped GSE127465	drop_GSE127465	this_pr	GSE123902:-0.654,GSE205335:-0.200	GSE123902:13,GSE205335:22	9	9	18	-0.6296296296296297	0.0272753837615853	-0.24475812694308108	False	GSE123902+GSE127465+GSE205335
triple_loo	2	GSE123902+GSE127465	GSE123902+GSE127465 (LOO drop GSE205335)	mean	marker_malig+tisch_malig	mixed	20	-0.39821770994434785	0.33442273087920293	55.76829267989151	-1.9264839182801	0.054043977977888895	leave-one-cohort-out of GSE123902+GSE127465+GSE205335; dropped GSE205335	drop_GSE205335	this_pr	GSE123902:-0.654,GSE127465:0.107	GSE123902:13,GSE127465:7	5	5	10	-0.52	0.2222222222222222	-0.2823597529593412	True	GSE123902+GSE127465+GSE205335
triple_loo	2	GSE127465+GSE207422	GSE127465+GSE207422 (LOO drop GSE123902)	mean	tisch_malig+author_DRMref	mixed	19	-0.030008237432843414	0.9138142531747291	0.0	-0.10696472666991066	0.9148169632036914	leave-one-cohort-out of GSE123902+GSE127465+GSE207422; dropped GSE123902	drop_GSE123902	this_pr	GSE127465:0.107,GSE207422:-0.091	GSE127465:7,GSE207422:12	5	5	10	-0.19999999999999996	0.6904761904761905	-0.0775807672892479	True	GSE123902+GSE127465+GSE207422
triple_loo	2	GSE123902+GSE207422	GSE123902+GSE207422 (LOO drop GSE127465)	mean	marker_malig+author_DRMref	mixed	25	-0.4174634541113015	0.19790308775880316	55.764341455998036	-1.9519742885899019	0.050941257282432935	leave-one-cohort-out of GSE123902+GSE127465+GSE207422; dropped GSE127465	drop_GSE127465	this_pr	GSE123902:-0.654,GSE207422:-0.091	GSE123902:13,GSE207422:12	7	6	13	-0.7142857142857143	0.03496503496503496	-0.3166444620934762	False	GSE123902+GSE127465+GSE207422
triple_loo	2	GSE123902+GSE127465	GSE123902+GSE127465 (LOO drop GSE207422)	mean	marker_malig+tisch_malig	mixed	20	-0.39821770994434785	0.33442273087920293	55.76829267989151	-1.9264839182801	0.054043977977888895	leave-one-cohort-out of GSE123902+GSE127465+GSE207422; dropped GSE207422	drop_GSE207422	this_pr	GSE123902:-0.654,GSE127465:0.107	GSE123902:13,GSE127465:7	5	5	10	-0.52	0.2222222222222222	-0.2823597529593412	True	GSE123902+GSE127465+GSE207422
triple_loo	2	GSE131907+GSE148071	GSE131907+GSE148071 (LOO drop GSE123902)	mean	author_malig+tisch_malig	mixed	43	-0.16515941081556412	0.5038850601498703	56.51740329399727	-0.9874401322855506	0.32342691838710913	leave-one-cohort-out of GSE123902+GSE131907+GSE148071; dropped GSE123902	drop_GSE123902	this_pr	GSE131907:-0.396,GSE148071:0.080	GSE131907:21,GSE148071:22	11	11	22	-0.23966942148760328	0.35793336989339997	-0.1794305244138712	False	GSE123902+GSE131907+GSE148071
triple_loo	2	GSE123902+GSE148071	GSE123902+GSE148071 (LOO drop GSE131907)	mean	marker_malig+tisch_malig	mixed	35	-0.3127749377174049	0.45169932484018527	79.44776940264141	-1.13837531931714	0.2549637953248587	leave-one-cohort-out of GSE123902+GSE131907+GSE148071; dropped GSE131907	drop_GSE131907	this_pr	GSE123902:-0.654,GSE148071:0.080	GSE123902:13,GSE148071:22	9	9	18	-0.3580246913580247	0.21637300805763748	-0.2628466154013814	False	GSE123902+GSE131907+GSE148071
triple_loo	2	GSE123902+GSE131907	GSE123902+GSE131907 (LOO drop GSE148071)	mean	marker_malig+author_malig	mixed	34	-0.4995083871760923	0.003693853589321764	0.0	-2.8738641663142164	0.004054833134963312	leave-one-cohort-out of GSE123902+GSE131907+GSE148071; dropped GSE148071	drop_GSE148071	this_pr	GSE123902:-0.654,GSE131907:-0.396	GSE123902:13,GSE131907:21	10	8	18	-0.65	0.020521961698432286	-0.2928461221714681	False	GSE123902+GSE131907+GSE148071
triple_loo	2	GSE131907+GSE189357	GSE131907+GSE189357 (LOO drop GSE123902)	mean	author_malig+marker_malig	mixed	30	-0.4278074851706857	0.025099885200729845	0.0	-2.25150825263884	0.024353364790329696	leave-one-cohort-out of GSE123902+GSE131907+GSE189357; dropped GSE123902	drop_GSE123902	this_pr	GSE131907:-0.396,GSE189357:-0.517	GSE131907:21,GSE189357:9	9	7	16	-0.5238095238095238	0.09073426573426574	-0.2522000561017671	False	GSE123902+GSE131907+GSE189357
triple_loo	2	GSE123902+GSE189357	GSE123902+GSE189357 (LOO drop GSE131907)	mean	marker_malig+marker_malig	mixed	22	-0.6063700689014294	0.004913629528210351	0.0	-2.788516902644733	0.005294998427596125	leave-one-cohort-out of GSE123902+GSE131907+GSE189357; dropped GSE131907	drop_GSE131907	this_pr	GSE123902:-0.654,GSE189357:-0.517	GSE123902:13,GSE189357:9	7	5	12	-1.0	0.0025252525252525255	-0.3563523583449021	True	GSE123902+GSE131907+GSE189357
triple_loo	2	GSE123902+GSE131907	GSE123902+GSE131907 (LOO drop GSE189357)	mean	marker_malig+author_malig	mixed	34	-0.4995083871760923	0.003693853589321764	0.0	-2.8738641663142164	0.004054833134963312	leave-one-cohort-out of GSE123902+GSE131907+GSE189357; dropped GSE189357	drop_GSE189357	this_pr	GSE123902:-0.654,GSE131907:-0.396	GSE123902:13,GSE131907:21	10	8	18	-0.65	0.020521961698432286	-0.2928461221714681	False	GSE123902+GSE131907+GSE189357
triple_loo	2	GSE131907+GSE205335	GSE131907+GSE205335 (LOO drop GSE123902)	mean	author_malig+author_malig	mixed	43	-0.2987939229369048	0.06083736512529873	0.0	-1.8807816569443279	0.060001626385160274	leave-one-cohort-out of GSE123902+GSE131907+GSE205335; dropped GSE123902	drop_GSE123902	this_pr	GSE131907:-0.396,GSE205335:-0.200	GSE131907:21,GSE205335:22	11	11	22	-0.5206611570247934	0.04178899680298453	-0.1613420359555709	False	GSE123902+GSE131907+GSE205335
triple_loo	2	GSE123902+GSE205335	GSE123902+GSE205335 (LOO drop GSE131907)	mean	marker_malig+author_malig	mixed	35	-0.42327477052314644	0.11488496546443644	54.43719819520376	-2.1474408813877215	0.0317581989640832	leave-one-cohort-out of GSE123902+GSE131907+GSE205335; dropped GSE131907	drop_GSE131907	this_pr	GSE123902:-0.654,GSE205335:-0.200	GSE123902:13,GSE205335:22	9	9	18	-0.6296296296296297	0.0272753837615853	-0.24475812694308108	False	GSE123902+GSE131907+GSE205335
triple_loo	2	GSE123902+GSE131907	GSE123902+GSE131907 (LOO drop GSE205335)	mean	marker_malig+author_malig	mixed	34	-0.4995083871760923	0.003693853589321764	0.0	-2.8738641663142164	0.004054833134963312	leave-one-cohort-out of GSE123902+GSE131907+GSE205335; dropped GSE205335	drop_GSE205335	this_pr	GSE123902:-0.654,GSE131907:-0.396	GSE123902:13,GSE131907:21	10	8	18	-0.65	0.020521961698432286	-0.2928461221714681	False	GSE123902+GSE131907+GSE205335
triple_loo	2	GSE131907+GSE207422	GSE131907+GSE207422 (LOO drop GSE123902)	mean	author_malig+author_DRMref	mixed	33	-0.30019427278501637	0.10752444293486588	0.0	-1.6135946586932053	0.10661537617450499	leave-one-cohort-out of GSE123902+GSE131907+GSE207422; dropped GSE123902	drop_GSE123902	this_pr	GSE131907:-0.396,GSE207422:-0.091	GSE131907:21,GSE207422:12	9	8	17	-0.4444444444444444	0.13879062114356233	-0.22244113597169948	False	GSE123902+GSE131907+GSE207422
triple_loo	2	GSE123902+GSE207422	GSE123902+GSE207422 (LOO drop GSE131907)	mean	marker_malig+author_DRMref	mixed	25	-0.4174634541113015	0.19790308775880316	55.764341455998036	-1.9519742885899019	0.050941257282432935	leave-one-cohort-out of GSE123902+GSE131907+GSE207422; dropped GSE131907	drop_GSE131907	this_pr	GSE123902:-0.654,GSE207422:-0.091	GSE123902:13,GSE207422:12	7	6	13	-0.7142857142857143	0.03496503496503496	-0.3166444620934762	False	GSE123902+GSE131907+GSE207422
triple_loo	2	GSE123902+GSE131907	GSE123902+GSE131907 (LOO drop GSE207422)	mean	marker_malig+author_malig	mixed	34	-0.4995083871760923	0.003693853589321764	0.0	-2.8738641663142164	0.004054833134963312	leave-one-cohort-out of GSE123902+GSE131907+GSE207422; dropped GSE207422	drop_GSE207422	this_pr	GSE123902:-0.654,GSE131907:-0.396	GSE123902:13,GSE131907:21	10	8	18	-0.65	0.020521961698432286	-0.2928461221714681	False	GSE123902+GSE131907+GSE207422
triple_loo	2	GSE148071+GSE189357	GSE148071+GSE189357 (LOO drop GSE123902)	mean	tisch_malig+marker_malig	mixed	31	-0.15717625416546882	0.6135235885590329	48.3444077172603	-0.3906743352926855	0.6960379716768821	leave-one-cohort-out of GSE123902+GSE148071+GSE189357; dropped GSE123902	drop_GSE123902	this_pr	GSE148071:0.080,GSE189357:-0.517	GSE148071:22,GSE189357:9	8	8	16	-0.25	0.4418026418026417	-0.17288997059945566	False	GSE123902+GSE148071+GSE189357
triple_loo	2	GSE123902+GSE189357	GSE123902+GSE189357 (LOO drop GSE148071)	mean	marker_malig+marker_malig	mixed	22	-0.6063700689014294	0.004913629528210351	0.0	-2.788516902644733	0.005294998427596125	leave-one-cohort-out of GSE123902+GSE148071+GSE189357; dropped GSE148071	drop_GSE148071	this_pr	GSE123902:-0.654,GSE189357:-0.517	GSE123902:13,GSE189357:9	7	5	12	-1.0	0.0025252525252525255	-0.3563523583449021	True	GSE123902+GSE148071+GSE189357
triple_loo	2	GSE123902+GSE148071	GSE123902+GSE148071 (LOO drop GSE189357)	mean	marker_malig+tisch_malig	mixed	35	-0.3127749377174049	0.45169932484018527	79.44776940264141	-1.13837531931714	0.2549637953248587	leave-one-cohort-out of GSE123902+GSE148071+GSE189357; dropped GSE189357	drop_GSE189357	this_pr	GSE123902:-0.654,GSE148071:0.080	GSE123902:13,GSE148071:22	9	9	18	-0.3580246913580247	0.21637300805763748	-0.2628466154013814	False	GSE123902+GSE148071+GSE189357
triple_loo	2	GSE148071+GSE205335	GSE148071+GSE205335 (LOO drop GSE123902)	mean	tisch_malig+author_malig	mixed	44	-0.06163091057195375	0.7036480909063574	0.0	-0.3834309513600412	0.7014002578319167	leave-one-cohort-out of GSE123902+GSE148071+GSE205335; dropped GSE123902	drop_GSE123902	this_pr	GSE148071:0.080,GSE205335:-0.200	GSE148071:22,GSE205335:22	12	10	22	-0.30000000000000004	0.24853467917305805	-0.1478103942902807	False	GSE123902+GSE148071+GSE205335
triple_loo	2	GSE123902+GSE205335	GSE123902+GSE205335 (LOO drop GSE148071)	mean	marker_malig+author_malig	mixed	35	-0.42327477052314644	0.11488496546443644	54.43719819520376	-2.1474408813877215	0.0317581989640832	leave-one-cohort-out of GSE123902+GSE148071+GSE205335; dropped GSE148071	drop_GSE148071	this_pr	GSE123902:-0.654,GSE205335:-0.200	GSE123902:13,GSE205335:22	9	9	18	-0.6296296296296297	0.0272753837615853	-0.24475812694308108	False	GSE123902+GSE148071+GSE205335
triple_loo	2	GSE123902+GSE148071	GSE123902+GSE148071 (LOO drop GSE205335)	mean	marker_malig+tisch_malig	mixed	35	-0.3127749377174049	0.45169932484018527	79.44776940264141	-1.13837531931714	0.2549637953248587	leave-one-cohort-out of GSE123902+GSE148071+GSE205335; dropped GSE205335	drop_GSE205335	this_pr	GSE123902:-0.654,GSE148071:0.080	GSE123902:13,GSE148071:22	9	9	18	-0.3580246913580247	0.21637300805763748	-0.2628466154013814	False	GSE123902+GSE148071+GSE205335
triple_loo	2	GSE148071+GSE207422	GSE148071+GSE207422 (LOO drop GSE123902)	mean	tisch_malig+author_DRMref	mixed	34	0.024832968212710048	0.8954345744707437	0.0	0.13082054743155025	0.8959172681855346	leave-one-cohort-out of GSE123902+GSE148071+GSE207422; dropped GSE123902	drop_GSE123902	this_pr	GSE148071:0.080,GSE207422:-0.091	GSE148071:22,GSE207422:12	9	9	18	-0.16049382716049387	0.5962416305866567	-0.1747998089525522	False	GSE123902+GSE148071+GSE207422
triple_loo	2	GSE123902+GSE207422	GSE123902+GSE207422 (LOO drop GSE148071)	mean	marker_malig+author_DRMref	mixed	25	-0.4174634541113015	0.19790308775880316	55.764341455998036	-1.9519742885899019	0.050941257282432935	leave-one-cohort-out of GSE123902+GSE148071+GSE207422; dropped GSE148071	drop_GSE148071	this_pr	GSE123902:-0.654,GSE207422:-0.091	GSE123902:13,GSE207422:12	7	6	13	-0.7142857142857143	0.03496503496503496	-0.3166444620934762	False	GSE123902+GSE148071+GSE207422
triple_loo	2	GSE123902+GSE148071	GSE123902+GSE148071 (LOO drop GSE207422)	mean	marker_malig+tisch_malig	mixed	35	-0.3127749377174049	0.45169932484018527	79.44776940264141	-1.13837531931714	0.2549637953248587	leave-one-cohort-out of GSE123902+GSE148071+GSE207422; dropped GSE207422	drop_GSE207422	this_pr	GSE123902:-0.654,GSE148071:0.080	GSE123902:13,GSE148071:22	9	9	18	-0.3580246913580247	0.21637300805763748	-0.2628466154013814	False	GSE123902+GSE148071+GSE207422
triple_loo	2	GSE189357+GSE205335	GSE189357+GSE205335 (LOO drop GSE123902)	mean	marker_malig+author_malig	mixed	31	-0.28366382600883505	0.14475507466739432	0.0	-1.477471205883464	0.1395493712176898	leave-one-cohort-out of GSE123902+GSE189357+GSE205335; dropped GSE123902	drop_GSE123902	this_pr	GSE189357:-0.517,GSE205335:-0.200	GSE189357:9,GSE205335:22	8	8	16	-0.5625	0.06495726495726495	-0.25365701497496274	False	GSE123902+GSE189357+GSE205335
