cohort	contrast	verdict	n_high	n_low
GSE126044	tacstd2_median	keratin_TJ_up_Hallmark_EMT_null	8	8
GSE126044	tacstd2_quartile	n_too_small	4	4
GSE126044	tacstd2_spearman	keratin_TJ_up_Hallmark_EMT_null	16	16
GSE126044	response_R_vs_NR	mixed	5	11
GSE135222	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	13	13
GSE135222	tacstd2_quartile	mixed	7	7
GSE135222	tacstd2_spearman	mixed	27	27
GSE135222	response_R_vs_NR	contradicts_TJ_KRT	7	20
GSE166449	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	11	11
GSE166449	tacstd2_quartile	keratin_TJ_up_Hallmark_EMT_null	6	6
GSE166449	tacstd2_spearman	keratin_TJ_up_Hallmark_EMT_opposite	22	22
GSE166449	response_R_vs_NR	null	7	15
GSE253564	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	16	16
GSE253564	tacstd2_quartile	keratin_TJ_up_Hallmark_EMT_opposite	8	8
GSE253564	tacstd2_spearman	keratin_TJ_up_Hallmark_EMT_opposite	32	32
GSE253564	response_R_vs_NR	no_deposited_response_label	0	0
GSE190265	tacstd2_median	keratin_TJ_up_Hallmark_EMT_opposite	21	21
GSE190265	tacstd2_quartile	keratin_TJ_up_Hallmark_EMT_null	11	11
GSE190265	tacstd2_spearman	keratin_TJ_up_Hallmark_EMT_null	43	43
GSE190265	response_R_vs_NR	mixed	14	29
GSE283829	tacstd2_median	keratin_TJ_up_Hallmark_EMT_null	13	13
GSE283829	tacstd2_quartile	supportive	7	7
GSE283829	tacstd2_spearman	keratin_TJ_up_Hallmark_EMT_null	27	27
GSE283829	response_R_vs_NR	mixed	7	10
